regime,auc_gbm,auc_gnn,auc_diff,diff_lo,diff_hi,delong_z,delong_p,mcnemar_b,mcnemar_c,mcnemar_p,delong_q_bh,gbm_beats_gnn_fdr05
loso_species,0.9585914302007748,0.8690686881796554,0.08952274202111932,0.0642334069999387,0.11574698379170921,6.816752545744368,9.31214583893605e-12,81,33,1.072806443387001e-05,1.86242916778721e-11,True
host_cluster,0.9504766949152543,0.8534872503026634,0.09698944461259096,0.07137078193217547,0.12393396378902057,7.112470368322165,1.1398401398231893e-12,102,62,0.002323800346301248,4.559360559292757e-12,True
phage_cluster,0.8470579625292742,0.751844262295082,0.09521370023419218,0.04688955284421266,0.1441196393368849,3.818687333635473,0.00013416368097161752,58,34,0.016488656727670158,0.0001788849079621567,True
combined_unseen,0.7852237048665618,0.6724391679748822,0.11278453689167955,0.04834313721597039,0.17635426864323625,3.4609172610549392,0.0005383382402730661,28,16,0.09725442843900337,0.0005383382402730661,True
