regime,auc_gbm,auc_phist,auc_diff,diff_lo,diff_hi,delong_z,delong_p,delong_q_bh,gbm_beats_phist_fdr05
loso_species,0.9585914302007748,0.6840501052051993,0.2745413249955755,0.25061749118431076,0.2989481021000044,22.09914036565728,3.2214136598147063e-108,1.2885654639258825e-107,True
host_cluster,0.9504766949152543,0.680708989104116,0.2697677058111383,0.24429734656525184,0.2960012780850423,20.36767773447428,3.236665515832344e-92,6.473331031664688e-92,True
phage_cluster,0.8470579625292742,0.653483606557377,0.1935743559718972,0.14636728309956665,0.23934817011591814,8.27723618426735,1.260670258370938e-16,1.6808936778279172e-16,True
combined_unseen,0.7852237048665618,0.6814658555729984,0.10375784929356335,0.04668313898139916,0.15904497660261055,3.5897347721942623,0.0003310145896671765,0.0003310145896671765,True
