size,greedy,oracle,random_mean
1,0.02608695652173913,0.034782608695652174,0.004521739130434784
2,0.05652173913043478,0.06521739130434782,0.008608695652173917
3,0.09130434782608696,0.09130434782608696,0.013391304347826092
4,0.11739130434782609,0.11739130434782609,0.01730434782608696
5,0.13478260869565217,0.14347826086956522,0.021826086956521742
6,0.14782608695652175,0.16521739130434782,0.025652173913043478
7,0.15217391304347827,0.1826086956521739,0.029391304347826098
8,0.1608695652173913,0.1956521739130435,0.03313043478260871
9,0.16956521739130434,0.20434782608695654,0.036608695652173916
10,0.1782608695652174,0.21304347826086956,0.03939130434782608
11,0.1826086956521739,0.2217391304347826,0.04269565217391303
12,0.18695652173913044,0.23043478260869565,0.04617391304347824
13,0.1956521739130435,0.2391304347826087,0.04947826086956519
14,0.2,0.24347826086956523,0.052521739130434765
15,0.20434782608695654,0.24782608695652175,0.055391304347826055
16,0.20869565217391303,0.25217391304347825,0.058782608695652175
17,0.21304347826086956,0.2565217391304348,0.06156521739130434
18,0.21739130434782608,0.2608695652173913,0.06478260869565218
19,0.2217391304347826,0.26521739130434785,0.06765217391304346
20,0.22608695652173913,0.26956521739130435,0.07034782608695653
21,0.23043478260869565,0.27391304347826084,0.07304347826086954
22,0.23478260869565218,0.2782608695652174,0.0762608695652174
23,0.2391304347826087,0.2826086956521739,0.07878260869565218
24,0.24347826086956523,0.28695652173913044,0.08156521739130433
25,0.24782608695652175,0.29130434782608694,0.08382608695652176
26,0.25217391304347825,0.2956521739130435,0.08669565217391305
27,0.2565217391304348,0.3,0.08982608695652174
28,0.2608695652173913,0.30434782608695654,0.09208695652173918
29,0.26521739130434785,0.30869565217391304,0.09460869565217392
30,0.26956521739130435,0.3130434782608696,0.09765217391304347
31,0.27391304347826084,0.3173913043478261,0.09965217391304348
32,0.2782608695652174,0.3217391304347826,0.10165217391304353
33,0.2826086956521739,0.32608695652173914,0.10417391304347827
34,0.28695652173913044,0.33043478260869563,0.1062608695652174
35,0.29130434782608694,0.3347826086956522,0.10913043478260873
36,0.2956521739130435,0.3391304347826087,0.11139130434782611
37,0.3,0.34347826086956523,0.11417391304347828
38,0.30434782608695654,0.34782608695652173,0.11660869565217391
39,0.30869565217391304,0.3521739130434783,0.11869565217391304
40,0.3130434782608696,0.3565217391304348,0.12060869565217393
41,0.3173913043478261,0.36086956521739133,0.12226086956521738
