regime,auc_graph,auc_nograph,graph_gain,graph_delong_p,auc_gbm,gbm_minus_graph,gbm_delong_p,graph_q_bh,graph_helps_fdr05,gbm_q_bh
loso_species,0.8690686881796554,0.8374997541934595,0.03156893398619598,0.027065335057046298,0.9585914302007748,0.08952274202111932,9.31214583893605e-12,0.054130670114092595,False,1.86242916778721e-11
host_cluster,0.8534872503026634,0.8410496746368037,0.01243757566585968,0.41595990519537074,0.9504766949152543,0.09698944461259096,1.1398401398231893e-12,0.519945724993047,False,4.559360559292757e-12
phage_cluster,0.751844262295082,0.734557962529274,0.01728629976580809,0.519945724993047,0.8470579625292742,0.09521370023419218,0.00013416368097161752,0.519945724993047,False,0.0001788849079621567
combined_unseen,0.6724391679748822,0.5757947409733124,0.09664442700156983,0.0028932943050976605,0.7852237048665618,0.11278453689167955,0.0005383382402730661,0.011573177220390642,True,0.0005383382402730661
