Regime,n_pairs,Our AUROC,PHIST AUROC,RaFAH-style AUROC,Our AUPRC,PHIST AUPRC,RaFAH-style AUPRC,vs PHIST dAUC,q(PHIST),vs RaFAH dAUC,q(RaFAH)
Unseen species (LOSO),1057,0.959 (0.944-0.973),0.684 (0.662-0.706),0.620 (0.579-0.660),0.984,0.861,0.782,+0.275,1.3e-107,+0.339,5.0e-67
Unseen host cluster,1082,0.950 (0.934-0.966),0.681 (0.659-0.703),0.577 (0.538-0.616),0.981,0.861,0.770,+0.270,6.5e-92,+0.373,2.5e-93
Unseen phage (RaFAH's task),384,0.847 (0.808-0.886),0.653 (0.607-0.700),0.745 (0.691-0.799),0.736,0.587,0.638,+0.194,1.7e-16,+0.102,3.3e-03
Both unseen (cold start),398,0.785 (0.736-0.835),0.681 (0.646-0.717),0.414 (0.353-0.475),0.908,0.844,0.703,+0.104,3.3e-04,+0.371,4.9e-24
