held_out_source,model,n_pairs,n_positive,positive_fraction,auroc,auprc,ece
NCBI_HR,GBM,2588,2119,0.8187789916992188,0.4722542817497492,0.8005706025795182,0.7768989185639644
NahantCollection,GBM,5208,318,0.06105990707874298,0.4193926766215225,0.05807341410074909,0.61267238013917
StaphStudy,GBM,1053,333,0.3162393271923065,0.5676676676676676,0.34503737075691093,0.12635745275464946
NCBI_HR,EdgeMLP,2588,2119,0.8187789916992188,0.6933431004486769,0.8646735518999068,0.4831652877359966
NahantCollection,EdgeMLP,5208,318,0.06105990707874298,0.5603053336934574,0.07001700125721365,0.4819532170621378
StaphStudy,EdgeMLP,1053,333,0.3162393271923065,0.5696363029696363,0.338527417527297,0.41142562781756875
