regime,model,n,auc,auc_lo,auc_hi,auprc,perm_p,perm_q_bh
loso_species,GBM,1057,0.9585914302007748,0.944304231058668,0.9728786293428815,0.9843442376522863,0.000999000999000999,0.0011417154274297131
loso_species,RaFAH_style,1057,0.6198675594360217,0.5793699858879152,0.6603651329841281,0.7821184582398042,0.000999000999000999,0.0011417154274297131
host_cluster,GBM,1082,0.9504766949152543,0.9344718534195419,0.9664815364109668,0.9810016417506546,0.000999000999000999,0.0011417154274297131
host_cluster,RaFAH_style,1082,0.5770491260593222,0.5377706342086971,0.6163276179099474,0.7700464572934602,0.000999000999000999,0.0011417154274297131
phage_cluster,GBM,384,0.8470579625292742,0.8081065904575222,0.8860093346010263,0.7355198639799216,0.000999000999000999,0.0011417154274297131
phage_cluster,RaFAH_style,384,0.7448038641686183,0.6906729275958822,0.7989348007413545,0.6376568194972522,0.000999000999000999,0.0011417154274297131
combined_unseen,GBM,398,0.7852237048665618,0.7355067779992742,0.8349406317338494,0.9083609665504372,0.000999000999000999,0.0011417154274297131
combined_unseen,RaFAH_style,398,0.4141156462585034,0.353420758872829,0.4748105336441778,0.7029435941122313,0.999000999000999,0.999000999000999
