regime,model,n,auc,auc_lo,auc_hi,auprc,perm_p,perm_q_bh
loso_species,GBM,1057,0.9585914302007748,0.944304231058668,0.9728786293428815,0.9843442376522863,0.000999000999000999,0.000999000999000999
loso_species,PHIST,1057,0.6840501052051993,0.661657550153261,0.7064426602571375,0.8614478977007075,0.000999000999000999,0.000999000999000999
host_cluster,GBM,1082,0.9504766949152543,0.9344718534195419,0.9664815364109668,0.9810016417506546,0.000999000999000999,0.000999000999000999
host_cluster,PHIST,1082,0.680708989104116,0.6585811823500982,0.7028367958581339,0.8614390084163657,0.000999000999000999,0.000999000999000999
phage_cluster,GBM,384,0.8470579625292742,0.8081065904575222,0.8860093346010263,0.7355198639799216,0.000999000999000999,0.000999000999000999
phage_cluster,PHIST,384,0.653483606557377,0.6073772244008462,0.6995899887139079,0.5872102309932778,0.000999000999000999,0.000999000999000999
combined_unseen,GBM,398,0.7852237048665618,0.7355067779992742,0.8349406317338494,0.9083609665504372,0.000999000999000999,0.000999000999000999
combined_unseen,PHIST,398,0.6814658555729984,0.6455065837294627,0.7174251274165342,0.8435504167968748,0.000999000999000999,0.000999000999000999
